2024-09-22 20:11:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 6100, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-22 20:11:36 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll'

2024-09-24 21:01:12 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-24 21:01:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 2060, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-24 21:01:16 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll'

2024-09-24 21:30:51 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-24 21:30:53 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8340, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-24 21:30:53 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll'

2024-09-29 16:44:28 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-29 16:44:29 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll" is not a valid PE image
2024-09-29 16:44:48 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12064, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-29 16:44:48 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'
2024-09-29 16:45:02 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 12064, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-29 16:45:02 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-02 08:48:05 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-02 08:48:19 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15284, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-02 08:48:19 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'

2024-10-02 15:02:43 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-02 15:02:45 *NORMAL*     Image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll' is already in the list
2024-10-02 15:02:57 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15688, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-02 15:02:57 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\online_enabler_[unknowncheats.me]_.dll'

2024-10-04 11:56:28 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-04 11:56:39 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 1652, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-04 11:56:39 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-04 14:49:49 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-10-04 14:49:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 18712, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-10-04 14:49:50 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu v5 BE Disabled.dll'

2024-10-05 12:29:12 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
